| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |     43%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    36W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    28W /  70W |    824MiB / 15109MiB |     28%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |     15%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
