| N/A   41C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   2256MiB / 15109MiB |      2%      Default |
| N/A   41C    P0    26W /  70W |   2182MiB / 15109MiB |     58%      Default |
| N/A   41C    P0    49W /  70W |   1836MiB / 15109MiB |     77%      Default |
| N/A   42C    P0    35W /  70W |   2002MiB / 15109MiB |     77%      Default |
| N/A   42C    P0    84W /  70W |   3636MiB / 15109MiB |     51%      Default |
| N/A   42C    P0    33W /  70W |   1964MiB / 15109MiB |     62%      Default |
| N/A   43C    P0    41W /  70W |   3636MiB / 15109MiB |     40%      Default |
| N/A   42C    P0    52W /  70W |   1964MiB / 15109MiB |     67%      Default |
| N/A   43C    P0    55W /  70W |   3636MiB / 15109MiB |     55%      Default |
| N/A   42C    P0    45W /  70W |   1964MiB / 15109MiB |     73%      Default |
| N/A   43C    P0    79W /  70W |   3636MiB / 15109MiB |     50%      Default |
| N/A   42C    P0    34W /  70W |   1964MiB / 15109MiB |     78%      Default |
| N/A   43C    P0    41W /  70W |   3636MiB / 15109MiB |     46%      Default |
| N/A   42C    P0    34W /  70W |   1776MiB / 15109MiB |     48%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |     48%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    30W /  70W |   2002MiB / 15109MiB |     52%      Default |
| N/A   43C    P0    51W /  70W |   3636MiB / 15109MiB |     52%      Default |
| N/A   43C    P0    40W /  70W |   1964MiB / 15109MiB |     69%      Default |
| N/A   44C    P0    80W /  70W |   3636MiB / 15109MiB |     66%      Default |
| N/A   43C    P0    34W /  70W |   1964MiB / 15109MiB |     64%      Default |
| N/A   44C    P0    41W /  70W |   3636MiB / 15109MiB |     47%      Default |
| N/A   43C    P0    36W /  70W |   1964MiB / 15109MiB |     66%      Default |
| N/A   44C    P0    55W /  70W |   3636MiB / 15109MiB |     54%      Default |
| N/A   44C    P0    48W /  70W |   1964MiB / 15109MiB |     70%      Default |
| N/A   44C    P0    74W /  70W |   3636MiB / 15109MiB |     46%      Default |
| N/A   44C    P0    36W /  70W |   1964MiB / 15109MiB |     78%      Default |
| N/A   45C    P0    45W /  70W |   3636MiB / 15109MiB |     49%      Default |
| N/A   44C    P0    35W /  70W |   1776MiB / 15109MiB |     52%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |     52%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   44C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    33W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |   1776MiB / 15109MiB |      0%      Default |
