| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    36W /  70W |    650MiB / 15109MiB |      2%      Default |
| N/A   42C    P0    36W /  70W |    626MiB / 15109MiB |     43%      Default |
| N/A   42C    P0    35W /  70W |    640MiB / 15109MiB |     42%      Default |
| N/A   42C    P0    30W /  70W |    602MiB / 15109MiB |     38%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
| N/A   43C    P0    27W /  70W |    602MiB / 15109MiB |      0%      Default |
