| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    69W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    64W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    62W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    62W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    62W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    62W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    62W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    63W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    63W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    63W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    63W / 149W |   1556MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    63W / 149W |   1556MiB / 11441MiB |      0%      Default |
