| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    50W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    61W /  70W |   3752MiB / 15109MiB |     93%      Default |
| N/A   40C    P0    69W /  70W |   3752MiB / 15109MiB |     95%      Default |
| N/A   40C    P0    75W /  70W |   3752MiB / 15109MiB |     96%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |     36%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    27W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    36W /  70W |   3752MiB / 15109MiB |     95%      Default |
| N/A   42C    P0    70W /  70W |   3752MiB / 15109MiB |     95%      Default |
| N/A   42C    P0    79W /  70W |   3752MiB / 15109MiB |     95%      Default |
| N/A   41C    P0    32W /  70W |   3752MiB / 15109MiB |     95%      Default |
| N/A   41C    P0    32W /  70W |   3752MiB / 15109MiB |     34%      Default |
| N/A   41C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    32W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    33W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
